geoid_o,geoid_d,3/6/2020,3/30/2020,5/1/2020,8/21/2020,9/2/2020,9/4/2020,03/02/20-03/08/20,03/23/20-03/29/20,05/04/20-05/10/20,06/15/20-06/21/20,08/17/20-08/23/20,08/31/20-09/06/20
55025000902,55025001102,1216,55,42,97,527,482,4589,639,489,244,488,1445
55025000902,55025001606,364,33,,213,87,178,785,,748,,416,472
55025000902,55025001705,334,27,126,97,173,139,693,,,163,391,
55025000902,55025001804,80,27,,104,43,115,310,,,87,180,227
55025000902,55025000901,494,219,188,146,160,169,937,398,701,471,328,236
55025000902,55025001101,971,17,224,535,974,859,3291,763,460,567,1599,1289
55025000902,55025001605,77,,102,84,87,122,153,,106,,102,
55025000902,55025001704,216,91,,93,,89,512,150,244,163,150,236
55025000902,55025001604,308,18,126,242,219,307,484,,,163,458,236
55025000902,55025001603,287,63,42,166,158,301,1181,,795,,522,1029
55025000902,55025001802,,27,74,,,,188,150,122,,,97
55025000902,55025003200,614,82,240,341,561,424,2539,451,734,1734,1557,1337
55025000902,55025010100,317,55,141,272,205,259,1219,451,979,1673,977,619
55025000902,55025001200,373,172,36,355,849,903,1331,619,979,772,1116,1726
55025000902,55025001900,87,,,48,87,44,251,,795,337,150,236
55025001102,55025001606,4705,53,97,,871,708,20152,156,756,2010,266,3060
55025001102,55025001705,319,,,89,216,365,1248,,,565,753,663
55025001102,55025001804,160,,,52,241,107,581,121,255,87,90,349
55025001102,55025000901,159,,,,78,81,778,496,212,,178,
55025001102,55025001101,3095,64,433,603,1152,1344,15401,970,1405,1576,2189,3703
55025001102,55025001605,780,47,,,93,101,2465,125,106,198,102,79
55025001102,55025001704,301,48,,45,123,162,1133,458,,1272,,320
55025001102,55025001604,2880,55,154,404,1346,775,14842,475,4165,351,2511,2890
55025001102,55025001603,1959,48,186,303,692,507,8916,221,3559,2146,943,2454
55025001102,55025001802,165,50,,,,85,659,,,116,242,
55025001102,55025003200,511,,30,82,103,137,2318,1856,1225,204,204,216
